"year"	"month"	"day"	"obs"	"sim"	"alt"	"code"	"lat"	"long"
1999	1	21	7.4	6.4876914	386	1200570	39.839444	-7.4786944
1999	1	22	4.9	4.9001131	386	1200570	39.839444	-7.4786944
1999	1	23	5.1	4.8591428	386	1200570	39.839444	-7.4786944
1999	1	24	2.2	2.8145807	386	1200570	39.839444	-7.4786944
1999	1	25	2.5	3.5072031	386	1200570	39.839444	-7.4786944
1999	1	26	5.7	7.1562104	386	1200570	39.839444	-7.4786944
1999	1	27	6.1	5.4434209	386	1200570	39.839444	-7.4786944
1999	1	28	4.7	4.0349584	386	1200570	39.839444	-7.4786944
1999	1	29	5.2	4.5327964	386	1200570	39.839444	-7.4786944
1999	1	30	8.3	4.9392538	386	1200570	39.839444	-7.4786944
1999	1	31	8.9	6.5643721	386	1200570	39.839444	-7.4786944
1999	2	1	8.9	7.0969934	386	1200570	39.839444	-7.4786944
1999	2	2	8.5	6.9407148	386	1200570	39.839444	-7.4786944
1999	2	3	5.1	5.4221635	386	1200570	39.839444	-7.4786944
1999	2	4	6	4.5070386	386	1200570	39.839444	-7.4786944
1999	2	5	5.7	4.2402978	386	1200570	39.839444	-7.4786944
1999	2	6	4.2	3.3009977	386	1200570	39.839444	-7.4786944
1999	2	7	6.4	7.1740422	386	1200570	39.839444	-7.4786944
1999	2	8	5.4	5.1612287	386	1200570	39.839444	-7.4786944
1999	2	9	8.1	9.3902292	386	1200570	39.839444	-7.4786944
1999	2	10	5.7	6.0682564	386	1200570	39.839444	-7.4786944
1999	2	11	7	5.8586788	386	1200570	39.839444	-7.4786944
1999	2	12	4	4.2679935	386	1200570	39.839444	-7.4786944
1999	2	13	8.1	6.4290581	386	1200570	39.839444	-7.4786944
1999	2	14	7.1	8.09484	386	1200570	39.839444	-7.4786944
1999	2	15	5	5.2496324	386	1200570	39.839444	-7.4786944
1999	2	16	4.4	4.6414452	386	1200570	39.839444	-7.4786944
1999	2	17	6.5	4.7576127	386	1200570	39.839444	-7.4786944
1999	2	18	6.1	4.1889734	386	1200570	39.839444	-7.4786944
1999	2	19	3.3	4.1662302	386	1200570	39.839444	-7.4786944
1999	2	20	5.1	7.2768636	386	1200570	39.839444	-7.4786944
1999	2	21	7	7.8097157	386	1200570	39.839444	-7.4786944
1999	2	22	7.6	7.878706	386	1200570	39.839444	-7.4786944
1999	2	23	7.5	5.9884028	386	1200570	39.839444	-7.4786944
1999	2	24	9.1	9.332737	386	1200570	39.839444	-7.4786944
1999	2	25	8.5	9.1583929	386	1200570	39.839444	-7.4786944
1999	2	26	5.8	6.7606235	386	1200570	39.839444	-7.4786944
1999	2	27	8.1	9.5959864	386	1200570	39.839444	-7.4786944
1999	2	28	8.9	7.4663777	386	1200570	39.839444	-7.4786944
1999	3	1	5.4	4.6083074	386	1200570	39.839444	-7.4786944
1999	3	2	7.3	7.036962	386	1200570	39.839444	-7.4786944
1999	3	3	11	9.8646126	386	1200570	39.839444	-7.4786944
1999	3	4	11.2	10.93256	386	1200570	39.839444	-7.4786944
1999	3	5	9.5	9.352807	386	1200570	39.839444	-7.4786944
1999	3	6	7.8	8.1639061	386	1200570	39.839444	-7.4786944
1999	3	7	4.3	6.9064083	386	1200570	39.839444	-7.4786944
1999	3	8	5.4	6.183023	386	1200570	39.839444	-7.4786944
1999	3	9	6.3	9.1804438	386	1200570	39.839444	-7.4786944
1999	3	10	8.6	10.016799	386	1200570	39.839444	-7.4786944
1999	3	11	7.5	8.4045525	386	1200570	39.839444	-7.4786944
1999	3	12	8.8	9.1171055	386	1200570	39.839444	-7.4786944
1999	3	13	5.5	7.5056229	386	1200570	39.839444	-7.4786944
1999	3	14	5.2	6.1116047	386	1200570	39.839444	-7.4786944
1999	3	15	6.3	6.2541099	386	1200570	39.839444	-7.4786944
1999	3	16	5.8	7.9188342	386	1200570	39.839444	-7.4786944
1999	3	17	5.2	4.6550412	386	1200570	39.839444	-7.4786944
1999	3	18	7.5	5.1134801	386	1200570	39.839444	-7.4786944
1999	3	19	4.2	4.3362308	386	1200570	39.839444	-7.4786944
1999	3	20	5.8	6.8189201	386	1200570	39.839444	-7.4786944
1999	3	21	3.7	4.7340722	386	1200570	39.839444	-7.4786944
1999	3	22	7	6.8654423	386	1200570	39.839444	-7.4786944
1999	3	23	6.1	8.9519205	386	1200570	39.839444	-7.4786944
1999	3	24	4.7	5.8854766	386	1200570	39.839444	-7.4786944
1999	3	25	12.4	10.344	386	1200570	39.839444	-7.4786944
1999	3	26	8.4	10.170165	386	1200570	39.839444	-7.4786944
1999	3	27	11.6	10.543299	386	1200570	39.839444	-7.4786944
1999	3	28	8.8	6.8860302	386	1200570	39.839444	-7.4786944
1999	3	29	5.1	6.5516262	386	1200570	39.839444	-7.4786944
1999	3	30	3.7	4.3291492	386	1200570	39.839444	-7.4786944
1999	3	31	6.8	8.3860312	386	1200570	39.839444	-7.4786944
1999	4	1	6	9.2746563	386	1200570	39.839444	-7.4786944
1999	4	2	3.5	5.2270751	386	1200570	39.839444	-7.4786944
1999	4	3	4.7	4.6116633	386	1200570	39.839444	-7.4786944
1999	4	4	4.2	4.705512	386	1200570	39.839444	-7.4786944
1999	4	5	4.2	6.2828074	386	1200570	39.839444	-7.4786944
1999	4	6	4.5	7.6411796	386	1200570	39.839444	-7.4786944
1999	4	7	8.2	7.7612104	386	1200570	39.839444	-7.4786944
1999	4	8	6.6	6.5659227	386	1200570	39.839444	-7.4786944
1999	4	9	5.8	6.6240954	386	1200570	39.839444	-7.4786944
1999	4	10	3.8	6.5251694	386	1200570	39.839444	-7.4786944
1999	4	11	7.8	6.7589889	386	1200570	39.839444	-7.4786944
1999	4	12	9.7	9.3159466	386	1200570	39.839444	-7.4786944
1999	4	13	8.8	7.1705527	386	1200570	39.839444	-7.4786944
1999	4	14	9.4	9.9179573	386	1200570	39.839444	-7.4786944
1999	4	15	9.6	10.82326	386	1200570	39.839444	-7.4786944
1999	4	16	11.4	12.539668	386	1200570	39.839444	-7.4786944
1999	4	17	10.5	9.3622551	386	1200570	39.839444	-7.4786944
1999	4	18	4.1	7.3039756	386	1200570	39.839444	-7.4786944
1999	4	19	5.7	7.0006976	386	1200570	39.839444	-7.4786944
1999	4	20	9.4	12.193377	386	1200570	39.839444	-7.4786944
1999	4	21	7.7	9.0984325	386	1200570	39.839444	-7.4786944
1999	4	22	7.2	9.9581718	386	1200570	39.839444	-7.4786944
1999	4	23	7.7	7.1032848	386	1200570	39.839444	-7.4786944
1999	4	24	5.5	6.03689	386	1200570	39.839444	-7.4786944
1999	4	25	8.7	9.3547077	386	1200570	39.839444	-7.4786944
1999	4	26	8	10.146092	386	1200570	39.839444	-7.4786944
1999	4	27	6.3	7.1590114	386	1200570	39.839444	-7.4786944
1999	4	28	5.5	4.4902406	386	1200570	39.839444	-7.4786944
1999	4	29	7.3	7.723629	386	1200570	39.839444	-7.4786944
1999	4	30	6.5	5.7457752	386	1200570	39.839444	-7.4786944
1999	5	1	4	4.0186801	386	1200570	39.839444	-7.4786944
1999	5	2	6.3	6.8848181	386	1200570	39.839444	-7.4786944
1999	5	3	9	9.8678589	386	1200570	39.839444	-7.4786944
1999	5	4	6.1	10.765755	386	1200570	39.839444	-7.4786944
1999	5	5	5.6	9.8223	386	1200570	39.839444	-7.4786944
1999	5	6	6.7	10.50121	386	1200570	39.839444	-7.4786944
1999	5	7	6.1	10.352443	386	1200570	39.839444	-7.4786944
1999	5	8	4.1	5.2536454	386	1200570	39.839444	-7.4786944
1999	5	9	5	7.6162877	386	1200570	39.839444	-7.4786944
1999	5	10	3.8	5.2900271	386	1200570	39.839444	-7.4786944
1999	5	11	3.9	6.0986938	386	1200570	39.839444	-7.4786944
1999	5	12	4.4	7.3837719	386	1200570	39.839444	-7.4786944
1999	5	13	6.9	7.2762618	386	1200570	39.839444	-7.4786944
1999	5	14	8.8	8.2510204	386	1200570	39.839444	-7.4786944
1999	5	15	6.6	8.8328266	386	1200570	39.839444	-7.4786944
1999	5	16	9	8.1326036	386	1200570	39.839444	-7.4786944
1999	5	17	6.6	10.459313	386	1200570	39.839444	-7.4786944
1999	5	18	10.3	9.432375	386	1200570	39.839444	-7.4786944
1999	5	19	6.2	10.164353	386	1200570	39.839444	-7.4786944
1999	5	20	5.5	9.2919159	386	1200570	39.839444	-7.4786944
1999	5	21	5.8	6.2847433	386	1200570	39.839444	-7.4786944
1999	5	22	4.2	7.3030639	386	1200570	39.839444	-7.4786944
1999	5	23	5.1	5.9748135	386	1200570	39.839444	-7.4786944
1999	5	24	4.1	7.2596655	386	1200570	39.839444	-7.4786944
